508,send,0,0
540,send,1,0
576,send,2,0
610,send,3,0
644,send,4,0
650,receive,0,0
652,receive,1,0
677,send,5,0
681,receive,2,0
711,send,6,0
712,receive,3,0
745,send,7,0
748,receive,4,0
778,send,8,0
780,receive,5,0
812,send,9,0
813,receive,6,0
846,send,10,0
847,receive,7,0
879,send,11,0
883,receive,8,0
912,send,12,0
914,receive,9,0
946,send,13,0
948,receive,10,0
980,send,14,0
981,receive,11,0
1014,send,15,0
1016,receive,12,0
1047,send,16,0
1048,receive,13,0
1082,send,17,0
1083,receive,14,0
1115,send,18,0
1116,receive,15,0
1149,send,19,0
1151,receive,16,0
1183,send,20,0
1184,receive,17,0
1216,send,21,0
1219,receive,18,0
1250,send,22,0
1251,receive,19,0
1284,send,23,0
1285,receive,20,0
1317,send,24,0
1318,receive,21,0
1350,send,25,0
1353,receive,22,0
1384,send,26,0
1388,receive,23,0
1417,send,27,0
1421,receive,24,0
1451,send,28,0
1452,receive,25,0
1484,send,29,0
1488,receive,26,0
1518,send,30,0
1521,receive,27,0
1551,send,31,0
1555,receive,28,0
1584,send,32,0
1586,receive,29,0
1617,send,33,0
1620,receive,30,0
1651,send,34,0
1653,receive,31,0
1685,send,35,0
1687,receive,32,0
1718,send,36,0
1720,receive,33,0
1751,send,37,0
1754,receive,34,0
1786,send,38,0
1787,receive,35,0
1819,send,39,0
1822,receive,36,0
1852,send,40,0
1854,receive,37,0
1890,send,41,0
1890,receive,38,0
1922,receive,39,0
1923,send,42,0
1956,receive,40,0
1956,send,43,0
1989,send,44,0
1991,receive,41,0
2023,send,45,0
2025,receive,42,0
2056,send,46,0
2059,receive,43,0
2090,send,47,0
2093,receive,44,0
2123,send,48,0
2126,receive,45,0
2157,send,49,0
2159,receive,46,0
2193,send,50,0
2194,receive,47,0
2226,send,51,0
2229,receive,48,0
2260,receive,49,0
2260,send,52,0
2293,send,53,0
2297,receive,50,0
2326,send,54,0
2329,receive,51,0
2360,send,55,0
2363,receive,52,0
2394,send,56,0
2397,receive,53,0
2427,send,57,0
2428,receive,54,0
2461,send,58,0
